
============== Mo 28. Aug 07:39:11 CEST 2017 ============
PID     S_time  Period  MCS  Ktrp  PSCCH_RB_M  SUBCH_size  Sector_UES  PSCCH_BITMAP
13359   5       80      10   2     22          2           3           0xFF00000000
13360   5       80      10   2     22          2           4           0xFF00000000
13361   5       80      10   2     22          2           5           0xFF00000000
13362   5       80      10   2     22          2           6           0xFF00000000
13363   5       80      10   2     22          2           7           0xFF00000000
13364   5       80      10   2     22          2           8           0xFF00000000
13365   5       80      10   2     22          2           9           0xFF00000000
13366   5       80      10   2     22          2           10          0xFF00000000
13367   5       80      10   2     22          2           11          0xFF00000000
13368   5       80      10   2     22          2           12          0xFF00000000
13369   5       80      10   2     22          2           13          0xFF00000000
13370   5       80      10   2     22          2           14          0xFF00000000
13371   5       80      10   2     22          2           15          0xFF00000000
13380   5       80      10   2     22          2           3           0xFFFFFFFFFF
13381   5       80      10   2     22          2           4           0xFFFFFFFFFF
13382   5       80      10   2     22          2           5           0xFFFFFFFFFF
13383   5       80      10   2     22          2           6           0xFFFFFFFFFF
13386   5       80      10   2     22          2           7           0xFFFFFFFFFF
13389   5       80      10   2     22          2           8           0xFFFFFFFFFF
13395   5       80      10   2     22          2           9           0xFFFFFFFFFF
13396   5       80      10   2     22          2           10          0xFFFFFFFFFF
13397   5       80      10   2     22          2           11          0xFFFFFFFFFF
13411   5       80      10   2     22          2           12          0xFFFFFFFFFF
13413   5       80      10   2     22          2           13          0xFFFFFFFFFF
13414   5       80      10   2     22          2           14          0xFFFFFFFFFF
13432   5       80      10   2     22          2           15          0xFFFFFFFFFF

============== Mo 28. Aug 07:49:49 CEST 2017 ============
PID     S_time  Period  MCS  Ktrp  PSCCH_RB_M  SUBCH_size  Sector_UES  PSCCH_BITMAP
14272   5       80      10   2     22          2           3           0xFF00000000
14273   5       80      10   2     22          2           4           0xFF00000000
14274   5       80      10   2     22          2           5           0xFF00000000
14275   5       80      10   2     22          2           6           0xFF00000000
14276   5       80      10   2     22          2           7           0xFF00000000
14277   5       80      10   2     22          2           8           0xFF00000000
14278   5       80      10   2     22          2           9           0xFF00000000
14279   5       80      10   2     22          2           10          0xFF00000000
14280   5       80      10   2     22          2           11          0xFF00000000
14281   5       80      10   2     22          2           12          0xFF00000000
14282   5       80      10   2     22          2           13          0xFF00000000
14283   5       80      10   2     22          2           14          0xFF00000000
14284   5       80      10   2     22          2           15          0xFF00000000
14292   5       80      10   2     22          2           3           0xFFFFFFFFFF
14293   5       80      10   2     22          2           4           0xFFFFFFFFFF
14294   5       80      10   2     22          2           5           0xFFFFFFFFFF
14295   5       80      10   2     22          2           6           0xFFFFFFFFFF
14296   5       80      10   2     22          2           7           0xFFFFFFFFFF
14297   5       80      10   2     22          2           8           0xFFFFFFFFFF
14301   5       80      10   2     22          2           9           0xFFFFFFFFFF
14303   5       80      10   2     22          2           10          0xFFFFFFFFFF
14305   5       80      10   2     22          2           11          0xFFFFFFFFFF
14312   5       80      10   2     22          2           12          0xFFFFFFFFFF
14316   5       80      10   2     22          2           13          0xFFFFFFFFFF
14318   5       80      10   2     22          2           14          0xFFFFFFFFFF
14330   5       80      10   2     22          2           15          0xFFFFFFFFFF

============== Mo 28. Aug 08:15:02 CEST 2017 ============
PID     S_time  Period  MCS  Ktrp  PSCCH_RB_M  SUBCH_size  Sector_UES  PSCCH_BITMAP
15755   5       80      10   2     22          2           3           0xFF00000000
15756   5       80      10   2     22          2           4           0xFF00000000
15757   5       80      10   2     22          2           5           0xFF00000000
15758   5       80      10   2     22          2           6           0xFF00000000
15759   5       80      10   2     22          2           7           0xFF00000000
15760   5       80      10   2     22          2           8           0xFF00000000
15761   5       80      10   2     22          2           9           0xFF00000000
15762   5       80      10   2     22          2           10          0xFF00000000
15763   5       80      10   2     22          2           11          0xFF00000000
15764   5       80      10   2     22          2           12          0xFF00000000
15765   5       80      10   2     22          2           13          0xFF00000000
15766   5       80      10   2     22          2           14          0xFF00000000
15767   5       80      10   2     22          2           15          0xFF00000000
15781   5       80      10   2     22          2           3           0xFFFFFFFFFF
15790   5       80      10   2     22          2           4           0xFFFFFFFFFF
15791   5       80      10   2     22          2           5           0xFFFFFFFFFF
15792   5       80      10   2     22          2           6           0xFFFFFFFFFF
15793   5       80      10   2     22          2           7           0xFFFFFFFFFF
15794   5       80      10   2     22          2           8           0xFFFFFFFFFF
15795   5       80      10   2     22          2           9           0xFFFFFFFFFF
15799   5       80      10   2     22          2           10          0xFFFFFFFFFF
15801   5       80      10   2     22          2           11          0xFFFFFFFFFF
15805   5       80      10   2     22          2           12          0xFFFFFFFFFF
15807   5       80      10   2     22          2           13          0xFFFFFFFFFF
15808   5       80      10   2     22          2           14          0xFFFFFFFFFF
15809   5       80      10   2     22          2           15          0xFFFFFFFFFF
